a_first,a_second,b_first,b_second,c_first,c_second
30:02,31:01,57:03,58:01,04:01,07:01
02:01,02:05,07:05,52:01,07:02,12:02
36:01,80:01,14:02,15:03,02:10,08:02
01:01,30:01,42:01,81:01,unmapped,unmapped
02:01,02:02,18:01,45:01,05:01,16:01
23:01,33:03,53:01,78:01,06:02,16:01
30:02,36:01,15:03,53:01,02:10,04:01
02:01,33:03,58:01,58:01,03:02,04:01
30:01,30:02,13:02,42:01,06:02,unmapped
29:02,30:02,58:01,58:01,04:01,07:01
30:02,66:01,35:01,53:01,04:01,07:01
11:01,unmapped,35:01,53:01,04:01,04:01
23:01,unmapped,35:01,44:03,04:01,04:01
03:01,23:01,53:01,58:02,06:02,06:02
30:04,33:03,37:01,58:01,02:14,07:01
30:02,68:02,53:01,58:01,02:10,04:01
02:01,80:01,35:01,57:03,07:01,16:01
03:01,80:01,07:02,42:01,07:02,unmapped
11:01,30:02,07:02,58:01,07:01,07:02
02:05,03:01,53:01,58:01,03:04,04:01
02:01,24:02,07:02,51:01,07:02,15:02
29:02,unmapped,44:03,58:02,03:03,06:02
01:01,02:05,08:01,15:10,03:04,07:01
02:01,02:01,18:01,40:01,02:02,03:04
02:01,23:01,35:01,81:01,04:01,08:04
33:03,33:03,42:01,58:01,07:01,unmapped
30:01,36:01,42:01,53:01,04:01,unmapped
01:01,23:01,15:03,15:10,02:10,03:04
31:01,68:01,42:01,57:01,07:01,unmapped
03:01,unmapped,39:01,53:01,02:02,04:01
02:01,68:02,15:10,45:01,03:04,16:01
02:01,03:01,07:02,14:02,07:02,08:02
02:01,03:01,15:16,35:01,16:01,16:01
02:02,unmapped,15:03,52:01,02:10,16:01
02:02,66:01,35:01,53:01,04:01,04:01
01:02,23:01,44:03,49:01,04:01,07:01
30:02,33:03,35:01,42:01,04:01,unmapped
33:03,36:01,35:01,53:01,04:01,16:01
30:01,30:01,52:01,57:03,16:01,unmapped
unmapped,unmapped,14:02,53:01,04:01,08:02
23:01,23:01,15:03,44:03,02:10,unmapped
33:03,68:02,49:01,58:01,03:04,07:01
30:01,30:02,57:03,81:01,unmapped,unmapped
23:01,24:02,35:01,35:02,04:01,07:01
03:01,23:01,53:01,57:04,08:02,unmapped
30:01,33:01,14:02,53:01,04:01,08:02
02:01,30:02,14:01,44:02,02:02,05:01
02:01,30:02,07:02,40:01,03:04,07:02
02:01,23:01,15:03,45:01,02:10,16:01
01:02,36:01,53:01,81:01,04:01,08:04
24:02,31:01,44:03,57:03,04:01,07:01
33:03,34:02,15:03,44:03,02:10,04:01
23:01,29:02,15:16,53:01,04:01,14:02
23:01,33:01,42:01,53:01,06:02,unmapped
23:01,68:01,18:01,49:01,04:01,05:01
01:01,68:02,08:01,47:01,07:01,07:01
23:01,33:03,52:01,53:01,04:01,12:02
02:05,33:01,42:01,53:01,04:01,unmapped
03:01,30:01,14:02,35:01,04:01,08:02
03:01,unmapped,14:02,15:10,03:04,08:02
26:01,68:02,08:01,81:01,03:04,unmapped
30:01,30:01,42:01,53:01,04:01,unmapped
33:03,34:02,44:03,53:01,04:01,04:01
23:01,30:01,07:02,18:01,07:02,07:04
02:05,30:01,42:01,53:01,04:01,unmapped
23:01,unmapped,14:02,14:02,08:02,08:02
02:01,03:01,35:01,49:01,03:03,16:01
36:01,68:01,53:01,58:02,04:01,06:02
24:02,30:02,15:03,45:01,02:10,06:02
30:02,unmapped,35:01,49:01,06:02,07:01
01:01,66:01,45:01,57:01,06:02,06:02
29:02,36:01,39:10,44:03,06:02,12:03
02:02,23:01,08:01,15:16,03:04,14:02
03:01,30:02,40:01,45:01,03:04,16:01
34:02,68:01,35:01,53:01,04:01,04:01
34:02,34:02,44:03,51:01,04:01,16:01
23:01,unmapped,15:03,42:01,02:10,unmapped
11:01,30:01,08:01,56:01,01:02,03:04
01:01,02:05,55:01,58:02,03:03,04:01
30:01,68:02,15:17,52:01,05:01,16:01
23:01,23:01,08:01,53:01,04:01,07:01
36:01,unmapped,08:01,53:01,03:04,04:01
02:01,68:01,45:01,58:02,06:02,16:01
23:01,33:03,07:02,81:01,15:05,unmapped
02:01,02:02,44:02,53:01,04:01,05:01
30:02,68:08,07:02,15:10,07:02,08:04
01:01,36:01,08:01,35:01,07:01,07:01
11:01,66:02,35:01,58:01,04:01,07:01
30:02,66:03,44:03,78:01,04:01,16:01
02:01,03:01,58:01,58:02,03:05,06:02
02:01,29:02,07:02,15:03,02:10,15:05
30:02,unmapped,14:01,35:01,04:01,08:02
33:03,66:02,15:16,18:01,02:02,14:02
03:01,68:01,15:18,44:02,05:01,07:01
66:01,68:01,58:02,82:01,03:02,06:02
01:01,24:02,37:01,49:01,06:02,07:01
30:01,30:01,42:01,58:01,03:02,unmapped
02:01,36:01,42:01,52:01,16:01,unmapped
01:02,68:02,14:01,15:10,03:04,08:04
30:01,33:01,14:02,42:01,08:02,unmapped
36:01,unmapped,15:03,53:01,04:01,12:03
23:01,unmapped,15:10,41:02,03:04,unmapped
30:01,30:02,52:01,78:01,16:01,16:01
02:01,68:02,15:10,35:01,03:04,04:01
11:01,80:01,35:01,45:01,04:01,16:01
23:01,unmapped,53:01,53:01,04:01,07:01
03:01,33:03,15:16,45:01,14:02,16:01
34:02,66:03,15:16,44:03,04:01,14:02
26:01,30:01,35:01,58:02,06:02,16:01
26:01,68:02,53:01,58:02,04:01,06:02
30:01,80:01,42:01,52:01,16:01,unmapped
03:01,29:02,15:16,45:01,07:01,16:01
01:01,32:01,07:02,53:01,04:01,07:01
02:01,32:01,14:01,35:01,04:01,08:02
03:01,unmapped,57:03,57:04,07:01,unmapped
30:01,68:01,35:01,58:02,04:01,06:02
30:02,68:01,45:01,52:01,16:01,16:01
23:01,29:02,07:02,49:01,07:01,15:05
03:01,29:02,49:01,50:01,07:01,08:04
24:02,33:01,42:01,51:01,03:04,unmapped
03:01,23:01,18:01,35:01,05:01,16:01
23:01,unmapped,08:01,53:01,04:01,07:02
02:01,68:01,58:01,58:02,03:02,06:02
33:03,68:02,07:02,53:01,04:01,07:02
03:01,34:02,45:01,53:01,08:02,16:01
23:01,30:01,42:01,44:03,04:01,unmapped
01:01,03:01,15:10,44:02,03:04,05:01
01:01,02:02,08:01,53:01,04:01,07:01
68:02,unmapped,15:03,51:08,03:04,08:02
23:01,80:01,45:01,58:01,07:01,16:01
32:01,34:02,51:01,81:01,08:04,16:01
02:01,68:01,15:24,51:01,05:01,06:02
30:01,33:03,15:03,42:01,02:10,unmapped
02:01,24:02,15:24,51:01,03:03,15:02
unmapped,unmapped,07:02,07:02,07:02,07:02
01:01,03:01,08:01,15:01,05:01,07:01
30:01,30:03,42:01,45:01,04:01,unmapped
03:01,23:01,35:01,53:01,07:01,08:02
30:02,68:01,53:01,58:02,04:01,06:02
03:01,23:01,15:10,51:01,08:04,16:01
02:01,68:02,07:02,15:10,03:04,07:02
33:01,33:03,52:01,58:01,03:02,16:01
33:03,34:02,15:16,53:01,04:01,14:02
02:01,29:02,07:02,40:01,03:04,07:01
23:01,31:01,15:03,35:01,02:10,04:04
02:01,68:02,53:01,53:01,04:01,04:01
02:01,29:02,35:01,78:01,04:01,16:01
36:01,68:02,42:01,53:01,04:01,unmapped
11:01,34:02,18:01,45:01,07:04,16:01
23:01,34:02,15:03,35:01,02:10,04:01
23:01,32:01,07:02,07:05,15:02,15:05
02:01,03:01,51:01,57:03,07:02,unmapped
03:01,34:02,07:02,58:02,06:02,07:02
03:01,68:01,07:02,35:01,04:01,07:02
02:01,31:03,42:01,44:02,05:01,unmapped
03:01,68:01,57:01,57:03,06:02,unmapped
30:01,68:01,42:01,58:02,06:02,07:01
30:01,68:01,42:01,58:02,06:02,unmapped
02:01,03:01,51:01,58:02,06:02,14:02
02:05,68:01,58:01,58:02,06:02,07:01
01:01,33:01,44:03,81:01,07:02,unmapped
01:01,66:01,08:01,58:02,06:02,07:01
02:02,03:01,14:02,15:03,02:10,08:02
02:01,23:01,35:01,44:03,04:01,16:01
29:02,68:01,50:01,51:01,06:02,16:01
02:01,33:03,15:03,18:01,02:10,05:01
23:01,24:02,15:03,40:06,02:10,15:02
33:01,66:01,14:02,78:01,08:02,16:01
23:01,66:02,15:03,58:01,02:10,07:01
66:01,68:02,35:03,53:01,01:02,04:01
30:01,unmapped,15:31,42:01,04:07,unmapped
03:01,33:01,35:01,50:01,04:01,06:02
30:02,33:03,27:03,53:01,02:02,04:01
34:02,unmapped,44:03,45:01,07:01,16:01
02:01,30:01,07:02,50:02,06:02,07:02
23:01,unmapped,15:03,15:03,02:10,02:10
33:01,66:02,40:12,45:01,15:05,16:01
30:02,34:02,35:01,45:01,04:01,16:01
29:02,68:01,07:02,35:03,04:01,15:05
03:01,33:01,35:01,53:01,04:01,04:01
25:01,29:02,44:02,44:03,04:01,05:01
66:01,68:02,08:01,15:10,03:04,07:02
23:01,33:01,15:03,15:03,02:10,02:10
03:01,68:01,52:01,58:02,06:02,16:01
33:01,68:02,53:01,53:01,04:01,04:01
02:01,23:01,44:02,44:03,05:01,14:03
02:02,30:01,07:02,15:03,02:10,07:02
03:01,03:01,08:01,49:01,07:01,07:02
01:02,03:01,45:01,49:01,07:01,16:01
02:01,02:01,08:01,35:01,07:01,16:01
34:02,68:02,42:01,49:01,07:01,unmapped
02:01,30:02,07:02,18:01,07:01,07:02
02:01,03:01,45:01,57:03,04:01,16:01
02:01,26:01,40:01,45:01,03:04,16:01
11:01,unmapped,44:02,44:03,04:01,05:01
23:01,33:01,07:02,58:01,03:02,07:02
02:01,36:01,18:01,53:01,02:02,04:01
02:01,68:02,15:10,51:01,03:04,16:01
03:01,30:01,42:02,78:01,16:01,unmapped
34:02,68:02,51:01,58:02,06:02,16:01
11:01,11:01,35:01,44:03,04:01,unmapped
03:01,33:01,35:01,53:01,04:01,07:01
02:01,68:02,35:01,53:01,04:01,07:01
23:01,23:01,07:02,53:01,04:01,04:01
03:01,29:02,35:01,81:01,04:01,unmapped
24:02,33:03,15:10,40:01,03:04,04:01
03:01,68:02,53:01,58:02,04:01,06:02
02:05,33:01,35:01,58:01,07:01,07:01
23:01,unmapped,52:01,53:01,05:01,16:01
03:01,unmapped,44:03,53:01,04:01,04:01
11:02,68:02,27:04,53:01,04:01,12:02
36:01,68:01,15:10,58:01,03:04,07:01
02:01,68:01,15:17,45:01,05:01,16:01
